"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW"
"2022-01-01",1,21940,23275,20513,2412,6527,0,13670,0,450,-181,-4,586,320,384,-100,210,0
"2022-01-01",2,22427,23489,21021,2554,6527,0,13670,0,173,-181,-4,583,320,403,-104,176,0
"2022-01-01",3,21896,23672,20619,2696,6527,0,13670,0,799,-164,-4,567,320,440,-4,-205,0
"2022-01-01",4,20693,23272,19615,2838,6527,0,13670,0,1516,-170,-4,444,320,387,-6,-283,0
"2022-01-01",5,19481,23958,18545,2977,6527,0,13670,0,1490,-753,-4,-383,320,476,-561,-686,0
"2022-01-01",6,18709,23347,17800,3116,6527,0,13670,0,1521,-783,-4,-406,301,387,-587,-737,0
"2022-01-01",7,18081,23722,17194,3165,6527,0,13670,0,1597,-1014,-4,-791,249,457,-917,-718,0
"2022-01-01",8,17542,23199,16692,3214,6527,0,13670,0,1586,-1022,-4,-799,128,383,-930,-716,0
"2022-01-01",9,17094,23015,16267,3286,6527,0,13670,0,1582,-1022,-4,-1012,157,464,-985,-716,0
"2022-01-01",10,16665,22579,15878,3358,6527,0,13670,0,1570,-1023,-4,-1013,42,369,-988,-716,0
"2022-01-01",11,16519,22441,15802,3409,6527,0,13670,0,1558,-1022,-4,-1014,82,226,-1008,-716,0
"2022-01-01",12,16456,22368,15717,3460,6527,0,13670,0,1548,-1022,-4,-1013,232,80,-1009,-716,0
"2022-01-01",13,16911,22805,16193,3490,6527,0,13670,0,1475,-1022,-4,-1014,203,-54,-1009,-716,0
"2022-01-01",14,17309,23119,16608,3520,6527,0,13670,0,1415,-1022,-4,-1015,250,-27,-1009,-718,0
"2022-01-01",15,17813,23395,17112,3531,6527,0,13670,0,1074,-1022,-4,-1014,155,-111,-1021,-736,0
"2022-01-01",16,17972,23381,17294,3541,6527,0,13670,0,987,-1022,-4,-1015,222,-21,-1022,-738,0
"2022-01-01",17,18638,23620,17909,3658,6527,0,13670,0,582,-1022,-4,-1015,141,44,-1021,-738,0
"2022-01-01",18,19257,23978,18500,3775,6527,88,13670,0,322,-1023,-4,-1014,199,156,-1020,-738,0
"2022-01-01",19,20003,24100,19140,3827,6527,441,13670,0,59,-1022,-4,-1014,94,67,-660,-738,0
"2022-01-01",20,20708,24734,19757,3879,6527,910,13670,0,21,-1023,-4,-1014,87,125,-626,-738,0
"2022-01-01",21,21481,24833,20441,3888,6527,1117,13670,0,19,-1023,-4,-917,-51,27,197,-738,0
"2022-01-01",22,22138,25189,21009,3897,6527,1382,13670,0,10,-1023,-4,-676,32,0,248,-738,0
"2022-01-01",23,23097,25298,21891,3891,6527,1518,13670,0,8,-747,-4,314,-52,-52,567,-738,0
"2022-01-01",24,23786,25874,22481,3884,6527,1433,13670,0,7,-736,-4,272,23,-9,579,-732,0
"2022-01-01",25,24496,26608,23098,3858,6527,1447,13670,0,7,-553,-4,-213,-70,-11,542,-654,0
"2022-01-01",26,25010,27019,23583,3831,6527,1286,13670,0,10,-541,-4,-214,-29,0,543,-611,0
"2022-01-01",27,25465,26745,24058,3786,6527,1146,13670,0,8,-71,-4,-382,82,30,980,-215,0
"2022-01-01",28,25261,26483,23865,3740,6527,1062,13670,0,10,-52,-4,-395,120,0,999,-161,0
"2022-01-01",29,25586,26629,24187,3683,6527,868,13670,0,7,-197,-4,-145,104,0,999,-90,0
"2022-01-01",30,25558,26565,24094,3625,6527,613,13670,0,15,-203,-4,-122,116,0,999,-63,0
"2022-01-01",31,26492,27327,24964,3569,6527,210,13670,0,12,-219,-4,141,148,0,985,171,0
"2022-01-01",32,27138,27971,25532,3513,6527,36,13670,0,14,-215,-4,173,223,21,984,230,0
"2022-01-01",33,28745,29448,26972,3496,6527,0,13670,0,2,239,-4,-97,124,16,871,604,0
"2022-01-01",34,30339,31047,28427,3478,6527,0,13670,0,0,257,-4,-104,202,115,867,652,0
"2022-01-01",35,31054,31658,29100,3492,6527,0,13670,0,0,518,-4,445,99,24,918,688,0
"2022-01-01",36,31010,31660,29138,3506,6527,0,13670,0,0,521,-4,509,-46,0,921,693,0
"2022-01-01",37,30263,31063,28511,3456,6527,0,13670,0,0,-69,-4,555,-127,38,783,692,0
"2022-01-01",38,29681,30609,27976,3405,6527,0,13670,0,0,-92,-4,559,-232,0,778,692,0
"2022-01-01",39,28892,29638,27304,3377,6527,0,13670,0,6,438,-4,674,-131,-5,844,690,0
"2022-01-01",40,27926,28691,26380,3348,6527,0,13670,0,8,463,-4,664,-96,-57,846,672,0
"2022-01-01",41,27000,27612,25445,3267,6527,0,13670,0,8,152,-4,341,26,12,655,438,0
"2022-01-01",42,26259,26947,24685,3185,6527,0,13670,0,9,141,-4,375,-75,0,649,379,0
"2022-01-01",43,25712,26412,24166,3085,6527,0,13670,0,14,424,-4,882,-82,0,793,6,0
"2022-01-01",44,24434,25379,22931,2984,6527,0,13670,0,10,411,-4,882,-206,-52,799,-73,0
"2022-01-01",45,23247,24955,21849,2900,6527,0,13670,0,10,-407,-4,739,-204,-21,621,-462,0
"2022-01-01",46,22329,24501,20982,2815,6527,0,13670,0,116,-456,-4,445,-337,-133,613,-526,0
"2022-01-01",47,21163,24648,19839,2767,6527,0,13670,0,95,-968,-4,-609,-351,-144,223,-714,0
"2022-01-01",48,20507,24351,19216,2718,6527,0,13670,0,599,-977,-4,-609,-301,-16,208,-738,0
"2022-01-02",1,20588,23687,19306,2694,6527,0,13670,0,986,-233,-4,-271,-267,0,480,-738,0
"2022-01-02",2,20931,23642,19693,2670,6527,0,13670,0,793,-199,-4,-215,-162,0,490,-738,0
"2022-01-02",3,20665,24011,19446,2623,6527,0,13670,0,1162,-807,-4,186,-35,24,626,-738,0
"2022-01-02",4,19999,23797,18863,2575,6527,0,13670,0,1548,-837,-4,188,-18,-53,627,-738,0
"2022-01-02",5,19367,23108,18252,2570,6527,0,13670,0,1478,-556,-5,-340,79,-24,138,-738,0
"2022-01-02",6,18946,22999,17808,2564,6527,0,13670,0,1629,-545,-5,-428,127,-108,113,-738,0
"2022-01-02",7,18644,23134,17459,2558,6527,0,13670,0,1607,-686,-5,-525,237,-20,-309,-738,0
"2022-01-02",8,18275,22768,17110,2552,6527,0,13670,0,1598,-691,-5,-531,171,0,-330,-738,0
"2022-01-02",9,17937,23177,16821,2617,6527,0,13670,0,1580,-878,-5,-625,271,50,-814,-738,0
"2022-01-02",10,17593,22876,16554,2682,6527,0,13670,0,1565,-884,-4,-657,268,5,-835,-738,0
"2022-01-02",11,17618,23312,16584,2735,6527,0,13670,0,1511,-987,-4,-1057,290,-52,-745,-738,0
"2022-01-02",12,17804,23512,16712,2788,6527,0,13670,0,1570,-990,-4,-1056,231,-9,-741,-738,0
"2022-01-02",13,18618,23907,17413,2817,6527,0,13670,0,1541,-651,-4,-858,295,46,-897,-738,0
"2022-01-02",14,19037,24134,17851,2845,6527,0,13670,0,1371,-636,-4,-845,298,48,-903,-738,0
"2022-01-02",15,19898,23957,18661,2843,6527,0,13670,0,1050,-288,-4,-546,298,-34,-799,-738,0
"2022-01-02",16,20381,24130,19182,2840,6527,0,13670,0,807,-278,-4,-545,265,56,-777,-738,0
"2022-01-02",17,21254,24600,19995,2885,6527,0,13670,0,637,-779,-4,-588,270,32,39,-738,0
"2022-01-02",18,22003,25052,20747,2929,6527,149,13670,0,479,-799,-3,-430,288,118,87,-738,0
"2022-01-02",19,23275,25020,21952,3008,6527,709,13670,0,34,-309,-2,441,191,34,-62,-738,0
"2022-01-02",20,24249,25916,22819,3086,6527,1291,13670,0,13,-284,-2,443,229,97,-58,-710,0
"2022-01-02",21,25188,26176,23619,3190,6527,1719,13670,0,14,227,-2,562,114,12,577,-372,0
"2022-01-02",22,25727,26700,24116,3294,6527,2094,13670,0,14,258,-2,562,154,0,610,-357,0
"2022-01-02",23,26287,27599,24631,3384,6527,1934,13670,0,13,54,-4,610,121,0,844,-695,0
"2022-01-02",24,26787,28142,25115,3474,6527,2181,13670,0,13,58,-4,638,152,0,852,-738,0
"2022-01-02",25,27545,28900,25822,3601,6527,1502,13670,0,13,746,-4,1020,52,0,899,-738,0
"2022-01-02",26,28046,29412,26270,3727,6527,1524,13670,0,13,787,-4,1020,21,-11,900,-738,0
"2022-01-02",27,28646,29996,26853,3715,6527,1047,13670,0,8,982,-4,1042,76,0,986,-738,0
"2022-01-02",28,28868,30269,27109,3703,6527,683,13670,0,10,988,-4,1043,-16,-45,989,-726,0
"2022-01-02",29,28925,30113,27170,3729,6527,414,13670,0,12,606,-4,996,84,-2,842,-570,0
"2022-01-02",30,29147,30301,27366,3755,6527,358,13670,0,11,587,-4,994,186,0,837,-539,0
"2022-01-02",31,29670,30672,27811,3754,6527,215,13670,0,6,128,-4,647,152,0,949,-392,0
"2022-01-02",32,30425,31379,28506,3752,6527,50,13670,0,7,107,-4,619,259,0,953,-343,0
"2022-01-02",33,31764,32376,29671,3688,6527,0,13670,0,8,183,-4,961,273,0,1017,41,0
"2022-01-02",34,33090,33694,30843,3623,6527,0,13670,0,0,194,-4,963,299,53,1019,117,0
"2022-01-02",35,34078,34687,31749,3628,6527,0,13670,0,5,801,-4,1023,299,29,1019,492,0
"2022-01-02",36,33852,34456,31551,3632,6527,0,13670,0,0,831,-4,1019,261,7,1020,510,0
"2022-01-02",37,32869,33474,30692,3671,6527,0,13670,0,1,929,-4,811,216,61,1019,158,0
"2022-01-02",38,31968,32618,29844,3709,6527,0,13670,0,9,932,-4,811,87,-37,1019,84,0
"2022-01-02",39,30795,31725,28819,3770,6527,0,13670,0,14,554,-4,934,142,-13,1019,-299,0
"2022-01-02",40,29462,30563,27567,3830,6527,0,13670,0,17,537,-4,942,41,-108,1019,-372,0
"2022-01-02",41,28482,29859,26689,3871,6527,0,13670,0,7,127,-4,963,-52,-19,1019,-695,0
"2022-01-02",42,27507,28843,25883,3911,6527,0,13670,0,5,108,-4,963,31,0,1019,-727,0
"2022-01-02",43,26232,27706,24707,3930,6527,0,13670,0,7,-258,-4,789,141,55,841,-605,0
"2022-01-02",44,25148,26645,23722,3949,6527,0,13670,0,9,-284,-4,467,77,17,821,-600,0
"2022-01-02",45,23636,26569,22305,3992,6527,0,13670,0,14,-982,-4,-610,185,84,108,-723,0
"2022-01-02",46,22522,25901,21237,4035,6527,0,13670,0,406,-1021,-4,-610,237,8,69,-738,0
"2022-01-02",47,21596,25540,20377,3976,6527,0,13670,0,1362,-1022,-4,-218,194,26,406,-738,0
"2022-01-02",48,20314,24231,19250,3917,6527,0,13670,0,1351,-1022,-4,-167,34,-35,419,-738,0
"2022-01-03",1,20143,23868,19083,3915,6527,0,13670,0,1356,-943,-4,-2,-82,67,636,-738,0
"2022-01-03",2,20481,24335,19433,3913,6527,0,13670,0,1528,-940,-4,0,-44,148,644,-738,0
"2022-01-03",3,20246,24335,19256,3898,6527,0,13670,0,1613,-944,-4,329,-190,24,845,-738,0
"2022-01-03",4,19586,23799,18625,3883,6527,0,13670,0,1608,-945,-4,360,-318,15,851,-738,0
"2022-01-03",5,18938,23206,18036,3885,6527,0,13670,0,1593,-995,-4,105,-338,145,554,-738,0
"2022-01-03",6,18494,22782,17632,3886,6527,0,13670,0,1595,-997,-4,103,-354,246,541,-738,0
"2022-01-03",7,17939,22773,17055,3855,6527,0,13670,0,1532,-1021,-4,-584,-355,353,177,-738,0
"2022-01-03",8,17460,21768,16622,3824,6527,0,13670,0,1558,-362,-4,-691,-355,245,157,-738,0
"2022-01-03",9,16976,21200,16249,3809,6527,0,13670,0,1369,-1,-4,-822,-313,203,-377,-738,0
"2022-01-03",10,16875,21168,16187,3793,6527,0,13670,0,1553,-1,-4,-826,-167,103,-404,-738,0
"2022-01-03",11,17426,22614,16706,3723,6527,0,13670,0,1499,-491,-4,-1012,-36,207,-808,-738,0
"2022-01-03",12,18098,23767,17260,3652,6527,0,13670,0,1448,-1022,-4,-1014,-18,193,-825,-738,0
"2022-01-03",13,19382,24987,18416,3623,6527,0,13670,0,1367,-1022,-4,-1064,82,324,-810,-738,0
"2022-01-03",14,20448,25648,19394,3593,6527,0,13670,0,963,-1022,-4,-1064,236,425,-809,-738,0
"2022-01-03",15,21432,25971,20237,3528,6527,0,13670,0,118,-1022,-4,-1066,272,322,-991,-738,0
"2022-01-03",16,22020,26431,20744,3463,6527,0,13670,0,6,-1022,-4,-1066,272,341,-976,-737,0
"2022-01-03",17,23235,26410,21850,3415,6527,0,13670,0,8,-1023,-4,-683,265,217,-135,-722,0
"2022-01-03",18,24427,27504,22958,3366,6527,101,13670,0,8,-1023,-4,-637,250,223,-84,-721,0
"2022-01-03",19,25515,28975,23924,3344,6527,453,13670,0,6,-1013,-4,-778,129,107,-322,-737,0
"2022-01-03",20,26533,29975,24733,3322,6527,858,13670,0,5,-1013,-4,-763,151,142,-318,-739,0
"2022-01-03",21,27397,29891,25400,3257,6527,1187,13670,0,7,-999,-4,-145,37,32,392,-739,0
"2022-01-03",22,27828,30279,25595,3191,6527,1349,13670,0,7,-994,-4,-106,23,0,432,-740,0
"2022-01-03",23,28557,30522,25998,3171,6527,1910,13670,0,4,-497,-4,286,-69,-51,652,-740,0
"2022-01-03",24,28965,30840,26238,3151,6527,1846,13670,0,3,-468,-4,289,-54,-13,660,-733,0
"2022-01-03",25,29470,30926,26726,3117,6527,1472,13670,0,3,125,-4,372,-137,-54,800,-658,0
"2022-01-03",26,29752,31039,26941,3082,6527,1180,13670,0,3,157,-4,361,-42,59,805,-638,0
"2022-01-03",27,30181,31291,27332,2959,6527,984,13670,0,3,473,-4,3,82,14,936,-503,0
"2022-01-03",28,30230,31335,27369,2836,6527,778,13670,0,3,488,-4,0,160,0,940,-498,0
"2022-01-03",29,30505,31766,27642,2719,6527,646,13670,0,3,889,-4,127,248,0,817,-654,0
"2022-01-03",30,30928,32177,28056,2602,6527,467,13670,0,4,905,-4,136,247,0,812,-641,0
"2022-01-03",31,31905,32762,28946,2479,6527,195,13670,0,7,857,-3,282,149,20,746,-247,0
"2022-01-03",32,33094,33874,30099,2355,6527,25,13670,0,8,855,-2,283,191,121,743,-170,0
"2022-01-03",33,35486,36097,32325,2288,6527,0,13670,0,11,899,387,477,190,33,848,198,0
"2022-01-03",34,37771,38374,34429,2221,6527,0,13670,0,3,901,967,492,181,64,851,272,0
"2022-01-03",35,39116,39785,35635,2164,6527,0,13670,0,7,1002,968,762,98,-62,927,646,0
"2022-01-03",36,38852,39530,35415,2107,6527,0,13670,0,4,1006,959,787,-32,-42,930,686,0
"2022-01-03",37,38202,38805,34832,2090,6527,0,13670,0,3,982,654,787,73,37,968,606,0
"2022-01-03",38,37498,38136,34173,2073,6527,0,13670,0,5,981,639,786,77,-33,969,598,0
"2022-01-03",39,35938,36545,32776,2055,6527,0,13670,0,7,928,878,951,211,56,1017,632,0
"2022-01-03",40,34375,34986,31337,2037,6527,0,13670,0,11,925,897,963,202,18,1019,617,0
"2022-01-03",41,33132,33739,30170,2029,6527,0,13670,0,7,1003,982,1021,85,62,956,374,0
"2022-01-03",42,31824,32483,29024,2020,6527,0,13670,0,8,1006,987,1022,-51,0,953,336,0
"2022-01-03",43,30656,31266,27995,2034,6527,0,13670,0,10,1006,991,1003,69,38,997,239,0
"2022-01-03",44,29316,29927,26776,2048,6527,0,13670,0,11,1006,990,1002,32,0,998,197,0
"2022-01-03",45,27921,28729,25460,2075,6527,0,13670,0,18,978,919,804,77,-8,655,-182,0
"2022-01-03",46,26421,27431,24094,2101,6527,0,13670,0,69,976,913,756,-16,-125,642,-200,0
"2022-01-03",47,24860,26090,22705,2061,6527,0,13670,0,497,687,846,284,82,-133,916,180,0
"2022-01-03",48,24110,25281,22088,2020,6527,0,13670,0,571,675,837,282,138,0,926,256,0
"2022-01-04",1,23796,24970,21843,2043,6527,0,13671,0,574,450,662,564,97,0,650,630,0
"2022-01-04",2,24239,25339,22316,2065,6527,0,13671,0,500,442,650,592,151,2,639,678,0
"2022-01-04",3,23824,25346,21925,2087,6527,0,13671,0,922,503,626,558,265,74,612,691,0
"2022-01-04",4,23240,24941,21405,2108,6527,0,13671,0,1101,505,629,558,158,7,611,663,0
"2022-01-04",5,22714,24382,21006,2193,6527,0,13671,0,1068,380,809,603,94,0,692,289,0
"2022-01-04",6,22095,24104,20496,2278,6527,0,13671,0,1330,375,819,603,-28,-51,694,213,0
"2022-01-04",7,21797,23895,20270,2334,6527,0,13671,0,1297,441,712,317,-25,-9,815,-167,0
"2022-01-04",8,21364,23660,19866,2390,6527,0,13671,0,1419,442,695,289,-77,0,819,-200,0
"2022-01-04",9,21095,23135,19662,2431,6527,0,13671,0,1414,126,364,337,12,0,640,-26,0
"2022-01-04",10,21112,23007,19765,2471,6527,0,13671,0,1295,114,338,339,32,0,634,26,0
"2022-01-04",11,21796,23096,20484,2521,6527,0,13671,0,700,364,179,379,169,69,554,402,0
"2022-01-04",12,22800,24049,21433,2571,6527,0,13671,0,649,374,176,378,313,69,541,465,0
"2022-01-04",13,24883,25632,23380,2603,6527,0,13671,0,18,311,418,295,344,2,-131,667,0
"2022-01-04",14,26953,27732,25321,2634,6527,0,13671,0,16,309,443,294,317,0,-163,693,0
"2022-01-04",15,29287,29902,27535,2708,6527,0,13671,0,15,625,722,231,309,4,344,693,0
"2022-01-04",16,31377,31994,29565,2781,6527,0,13671,0,17,637,733,228,310,80,367,693,0
"2022-01-04",17,33591,34203,31638,2851,6527,0,13671,0,12,484,457,401,250,8,467,693,0
"2022-01-04",18,34922,35535,32883,2920,6527,40,13671,0,13,479,440,415,153,66,472,693,0
"2022-01-04",19,35974,36591,33818,2890,6527,371,13671,0,17,612,504,639,30,6,837,693,0
"2022-01-04",20,36426,37061,34176,2859,6527,808,13671,0,17,617,510,640,-18,0,851,693,0
"2022-01-04",21,36659,37370,34332,2933,6527,1236,13671,0,11,743,593,25,-100,0,958,693,0
"2022-01-04",22,36760,37595,34317,3006,6527,1719,13671,0,9,747,602,-104,-122,0,962,690,0
"2022-01-04",23,36727,37550,34183,3137,6527,2170,13671,0,7,802,739,-2,-214,0,797,650,0
"2022-01-04",24,36749,37668,34118,3267,6527,2460,13671,0,11,804,747,0,-308,0,792,639,0
"2022-01-04",25,36766,37917,34141,3352,6527,2964,13671,0,11,804,702,-282,-258,0,849,567,0
"2022-01-04",26,36759,37916,34126,3436,6527,3322,13671,0,9,804,702,-309,-239,0,852,552,0
"2022-01-04",27,36591,37574,33947,3442,6527,3401,13671,0,11,804,818,-247,-125,0,940,476,0
"2022-01-04",28,36425,37427,33834,3447,6527,3106,13671,0,9,804,824,-224,-169,0,944,460,0
"2022-01-04",29,36714,37373,34210,3426,6527,2281,13671,0,7,804,768,332,-52,0,855,373,0
"2022-01-04",30,37293,37975,34759,3404,6527,1252,13671,0,7,804,758,341,-72,-3,851,358,0
"2022-01-04",31,37723,38643,35158,3371,6527,579,13671,0,11,590,519,2,-230,-79,703,305,0
"2022-01-04",32,38573,39520,35988,3338,6527,122,13671,0,7,584,515,0,-299,-41,697,325,0
"2022-01-04",33,40309,41489,37539,3351,6527,0,13671,0,4,989,961,151,-411,-165,884,652,0
"2022-01-04",34,41825,42953,38832,3364,6527,0,13671,0,1,1007,991,161,-336,-191,890,693,0
"2022-01-04",35,42965,44327,39853,3457,6527,0,13671,0,2,1007,991,299,-430,-330,857,693,0
"2022-01-04",36,43143,44632,40093,3550,6527,0,13671,0,5,1003,983,308,-455,-429,855,693,0
"2022-01-04",37,42118,43490,39201,3609,6527,0,13671,0,2,548,671,499,-456,-314,559,693,0
"2022-01-04",38,41099,42515,38319,3668,6527,0,13671,0,1,531,659,514,-456,-359,548,693,0
"2022-01-04",39,40155,41496,37497,3728,6527,0,13671,0,13,988,970,684,-406,-322,633,693,0
"2022-01-04",40,38418,39927,35882,3787,6527,0,13671,0,10,1008,991,691,-451,-448,637,663,0
"2022-01-04",41,36763,38234,34373,3812,6527,0,13671,0,5,1007,991,751,-456,-410,909,289,0
"2022-01-04",42,35030,36422,32811,3837,6527,0,13671,0,9,1007,987,762,-456,-327,919,246,0
"2022-01-04",43,33338,34608,31262,3816,6527,0,13671,0,12,959,815,1050,-455,-203,820,291,0
"2022-01-04",44,31300,32648,29388,3794,6527,0,13671,0,12,953,798,1028,-440,-296,816,267,0
"2022-01-04",45,29252,30668,27440,3793,6527,0,13671,0,20,488,635,617,-343,-342,589,-111,0
"2022-01-04",46,27625,29290,25911,3791,6527,0,13671,0,25,467,614,628,-433,-480,582,-127,0
"2022-01-04",47,25919,28209,24331,3719,6527,0,13671,0,752,436,301,941,-456,-482,983,250,0
"2022-01-04",48,24527,27365,23110,3646,6527,0,13671,0,1256,435,278,943,-456,-526,999,299,0
"2022-01-05",1,24303,27309,22895,3628,6527,0,13672,0,1499,600,236,900,-456,-451,908,329,0
"2022-01-05",2,24822,27722,23331,3610,6527,0,13672,0,1456,606,247,898,-456,-388,904,303,0
"2022-01-05",3,24614,27724,23103,3583,6527,0,13672,0,1606,780,735,834,-456,-373,901,-75,0
"2022-01-05",4,24118,27430,22629,3555,6527,0,13672,0,1597,786,762,836,-456,-507,900,-152,0
"2022-01-05",5,23545,27272,22220,3532,6527,0,13672,0,1593,699,539,1051,-456,-531,845,-547,0
"2022-01-05",6,23191,26941,21875,3509,6527,0,13672,0,1570,694,520,1051,-456,-531,843,-593,0
"2022-01-05",7,22948,26563,21592,3442,6527,0,13672,0,1499,325,406,915,-456,-530,994,-530,0
"2022-01-05",8,22714,26338,21340,3374,6527,0,13672,0,1548,307,380,906,-456,-530,1000,-490,0
"2022-01-05",9,22613,26283,21224,3336,6527,0,13672,0,1542,-177,-265,988,-456,-531,904,-99,0
"2022-01-05",10,22665,26227,21264,3298,6527,0,13672,0,1490,-201,-301,993,-438,-510,900,-22,0
"2022-01-05",11,23579,26451,22001,3239,6527,0,13672,0,1307,-236,-19,888,-334,-376,973,356,0
"2022-01-05",12,24861,27239,23165,3180,6527,0,13672,0,921,-237,-2,882,-395,-223,975,421,0
"2022-01-05",13,27451,28893,25536,3102,6527,0,13672,0,59,-59,-72,839,-456,-196,975,662,0
"2022-01-05",14,29889,31195,27750,3023,6527,0,13672,0,12,-54,-75,837,-456,-109,976,693,0
"2022-01-05",15,33041,34481,30648,2952,6527,0,13672,0,6,-376,8,627,-450,-8,913,693,0
"2022-01-05",16,35387,36877,32808,2880,6527,0,13672,0,6,-388,15,609,-384,-112,910,693,0
"2022-01-05",17,37138,38490,34350,2823,6527,9,13672,0,8,-63,52,632,-451,-230,796,693,0
"2022-01-05",18,37893,39111,34982,2766,6527,312,13672,0,7,-35,69,625,-456,-120,792,693,0
"2022-01-05",19,38813,39883,35701,2682,6527,1199,13672,0,7,716,576,406,-456,-7,859,693,0
"2022-01-05",20,38814,39952,35599,2597,6527,2242,13672,0,7,757,615,406,-456,-75,861,693,0
"2022-01-05",21,38293,39436,34991,2566,6527,3052,13672,0,4,901,758,320,-456,-83,677,693,0
"2022-01-05",22,38003,39186,34575,2535,6527,3715,13672,0,3,906,763,316,-456,-124,670,693,0
"2022-01-05",23,37716,39027,34265,2500,6527,4043,13672,0,3,643,602,474,-456,-252,807,693,0
"2022-01-05",24,37605,38855,34063,2465,6527,4384,13672,0,3,634,600,476,-456,-191,812,693,0
"2022-01-05",25,37848,39187,34250,2410,6527,4537,13672,0,3,892,898,742,-456,-280,708,693,0
"2022-01-05",26,37798,39065,34156,2354,6527,4416,13672,0,3,902,919,768,-456,-208,705,693,0
"2022-01-05",27,37817,39145,34167,2229,6527,3957,13672,0,3,1005,942,789,-457,-268,623,693,0
"2022-01-05",28,37932,39236,34234,2103,6527,3186,13672,0,3,1008,944,790,-455,-246,619,692,0
"2022-01-05",29,38422,39585,34767,1976,6527,2452,13672,0,3,1008,988,874,-455,-105,768,693,0
"2022-01-05",30,39035,40264,35315,1849,6527,1581,13672,0,3,1008,992,875,-455,-171,774,693,0
"2022-01-05",31,39780,41160,35976,1713,6527,694,13672,0,3,1008,991,638,-455,-322,551,693,0
"2022-01-05",32,41008,42388,37122,1577,6527,127,13672,0,11,1008,992,617,-455,-314,543,693,0
"2022-01-05",33,42264,43511,38221,1491,6527,0,13672,0,11,1009,991,227,-439,-197,480,693,0
"2022-01-05",34,43481,44630,39518,1404,6527,0,13672,0,5,1009,991,210,-342,-202,482,693,0
"2022-01-05",35,44173,45465,40168,1317,6527,0,13672,0,3,1007,991,694,-432,-257,962,693,0
"2022-01-05",36,44245,45523,40227,1230,6527,0,13672,0,1,1008,991,695,-420,-257,984,693,0
"2022-01-05",37,43719,44824,39786,1129,6527,0,13672,0,0,1007,991,705,-297,-208,1012,693,0
"2022-01-05",38,43246,44117,39333,1027,6527,0,13672,0,3,1007,991,716,-190,-78,1014,693,0
"2022-01-05",39,42343,43002,38527,941,6527,0,13672,0,9,1008,992,1050,-50,38,969,693,0
"2022-01-05",40,41492,42137,37769,855,6527,0,13672,0,9,1007,991,1051,-19,-17,968,693,0
"2022-01-05",41,40370,40981,36703,794,6527,0,13672,0,11,1008,992,1051,70,38,895,693,0
"2022-01-05",42,38899,39506,35421,733,6527,0,13672,0,7,1008,991,1052,25,0,893,693,0
"2022-01-05",43,37252,37858,33915,696,6527,0,13672,0,6,1008,991,1052,37,0,766,693,0
"2022-01-05",44,35572,36209,32436,658,6527,0,13672,0,5,1008,991,1052,-32,0,762,693,0
"2022-01-05",45,33884,34491,30884,627,6527,0,13672,0,7,1008,991,1052,82,67,775,693,0
"2022-01-05",46,31931,32541,29037,595,6527,0,13672,0,10,1008,991,1051,98,96,776,693,0
"2022-01-05",47,29911,30527,27185,574,6527,0,13672,0,12,1004,988,862,72,-4,768,693,0
"2022-01-05",48,28528,29182,25947,553,6527,0,13672,0,15,1004,988,847,35,-39,768,693,0
"2022-01-06",1,28289,28906,25785,577,6527,0,13673,0,17,1008,990,1029,148,39,724,693,0
"2022-01-06",2,28745,29368,26316,601,6527,0,13673,0,23,1009,991,1043,303,186,723,693,0
"2022-01-06",3,28557,29487,26185,664,6527,0,13673,0,330,1008,991,1022,400,208,818,693,0
"2022-01-06",4,27844,28933,25596,727,6527,0,13673,0,489,1008,991,1020,402,279,822,693,0
"2022-01-06",5,27288,29014,25149,823,6527,0,13673,0,1126,1009,991,865,402,260,802,693,0
"2022-01-06",6,27174,29078,25090,918,6527,0,13673,0,1304,1009,991,863,369,346,800,693,0
"2022-01-06",7,26702,28772,24629,1090,6527,0,13673,0,1470,1009,968,689,383,481,502,693,0
"2022-01-06",8,26260,28442,24152,1262,6527,0,13673,0,1582,1009,965,687,383,475,490,693,0
"2022-01-06",9,26243,28424,24131,1373,6527,0,13673,0,1581,977,892,689,383,504,635,693,0
"2022-01-06",10,26212,28380,24228,1484,6527,0,13673,0,1568,968,863,690,383,504,639,693,0
"2022-01-06",11,26567,27977,24636,1603,6527,0,13673,0,778,367,-32,264,383,504,423,693,0
"2022-01-06",12,27434,28661,25500,1721,6527,0,13673,0,547,338,-80,206,383,504,414,693,0
"2022-01-06",13,29845,30623,27826,1830,6527,0,13673,0,82,687,394,-96,383,504,150,693,0
"2022-01-06",14,32418,33127,30301,1938,6527,0,13673,0,5,701,437,-104,347,504,140,693,0
"2022-01-06",15,35429,36203,33117,2065,6527,0,13673,0,10,877,807,-104,273,504,-60,693,0
"2022-01-06",16,37058,37843,34634,2192,6527,0,13673,0,14,883,835,-104,273,504,-67,693,0
